DepartureAirport,DestinationAirport,FlightCount
"Tampa International Airport","Miami International Airport",16
"Fort Lauderdale–Hollywood International Airport","Tampa International Airport",11
"North Perry Airport","Miami-Opa Locka Executive Airport(was Opa-locka Airport)",10
"Fort Lauderdale Executive Airport","North Perry Airport",9
"Page Field","Venice Municipal Airport",8
"Punta Gorda Airport","Sarasota–Bradenton International Airport",5
"Tampa International Airport","Miami-Opa Locka Executive Airport(was Opa-locka Airport)",5
"Sarasota–Bradenton International Airport","Miami-Opa Locka Executive Airport(was Opa-locka Airport)",5
"Pensacola International Airport","Miami International Airport",5
"Fort Lauderdale–Hollywood International Airport","Fort Lauderdale Executive Airport",4
"Fort Lauderdale–Hollywood International Airport","Sarasota–Bradenton International Airport",4
"Sarasota–Bradenton International Airport","Venice Municipal Airport",4
"Fort Lauderdale–Hollywood International Airport","St. Pete–Clearwater International Airport",4
"Fort Lauderdale–Hollywood International Airport","Southwest Florida International Airport",4
"St. Pete–Clearwater International Airport","Miami-Opa Locka Executive Airport(was Opa-locka Airport)",4
"Fort Lauderdale Executive Airport","Miami-Opa Locka Executive Airport(was Opa-locka Airport)",4
"Fort Lauderdale Executive Airport","Miami International Airport",3
"Page Field","Bartow Executive Airport",3
"North Perry Airport","Fort Lauderdale–Hollywood International Airport",3
"St. Pete–Clearwater International Airport","Daytona Beach International Airport",3
"Sarasota–Bradenton International Airport","St. Pete–Clearwater International Airport",3
"Fort Lauderdale–Hollywood International Airport","Miami-Opa Locka Executive Airport(was Opa-locka Airport)",3
"Sarasota–Bradenton International Airport","Naples Municipal Airport",3
"Sarasota–Bradenton International Airport","Daytona Beach International Airport",3
"Page Field","Albert Whitted Airport",3
"Fort Lauderdale Executive Airport","Venice Municipal Airport",2
"Lakeland Linder International Airport","Albert Whitted Airport",2
"Punta Gorda Airport","Ocala International Airport(Jim Taylor Field)",2
"Naples Municipal Airport","Daytona Beach International Airport",2
"Peter O. Knight Airport","Bartow Executive Airport",2
"Punta Gorda Airport","Venice Municipal Airport",2
"Naples Municipal Airport","Tampa International Airport",2
"Punta Gorda Airport","Sebring Regional Airport",2
"Venice Municipal Airport","Bartow Executive Airport",2
"Leesburg International Airport","Ocala International Airport(Jim Taylor Field)",2
"Fort Lauderdale Executive Airport","Peter O. Knight Airport",2
"Venice Municipal Airport","Clearwater Air Park",2
"Kissimmee Gateway Airport","Miami International Airport",2
"Fort Lauderdale Executive Airport","Fort Lauderdale–Hollywood International Airport",2
"Fort Lauderdale–Hollywood International Airport","Miami International Airport",2
"Fort Lauderdale Executive Airport","Pompano Beach Airpark",2
"Destin Executive Airport","NAS Whiting Field – North",2
"St. Pete–Clearwater International Airport","Miami International Airport",2
"Tampa International Airport","Fort Lauderdale Executive Airport",2
"Page Field","Daytona Beach International Airport",2
"Albert Whitted Airport","Venice Municipal Airport",2
"Fort Lauderdale Executive Airport","Page Field",2
"Page Field","Marco Island Executive Airport",2
"Fort Lauderdale Executive Airport","Sarasota–Bradenton International Airport",2
"Winter Havens Gilbert Airport","Naples Municipal Airport",2
"St. Pete–Clearwater International Airport","Venice Municipal Airport",2
"Page Field","Winter Havens Gilbert Airport",2
"Tampa International Airport","Fort Lauderdale–Hollywood International Airport",2
"Northwest Florida Beaches International Airport","Pensacola International Airport",2
"Marco Island Executive Airport","Page Field",2
"Naples Municipal Airport","Page Field",2
"Punta Gorda Airport","Avon Park Executive Airport",2
"Fort Lauderdale Executive Airport","Naples Municipal Airport",2
"Albert Whitted Airport","Peter O. Knight Airport",2
"Southwest Florida International Airport","Naples Municipal Airport",2
"Venice Municipal Airport","Naples Municipal Airport",2
"Southwest Florida International Airport","Sarasota–Bradenton International Airport",2
"Page Field","North Perry Airport",2
"Page Field","Tampa International Airport",1
"Sarasota–Bradenton International Airport","Leesburg International Airport",1
"Peter O. Knight Airport","Naples Municipal Airport",1
"Punta Gorda Airport","Fort Lauderdale Executive Airport",1
"Punta Gorda Airport","Albert Whitted Airport",1
"Naples Municipal Airport","Miami-Opa Locka Executive Airport(was Opa-locka Airport)",1
"St. Pete–Clearwater International Airport","Gainesville Regional Airport",1
"Naples Municipal Airport","Lakeland Linder International Airport",1
"Venice Municipal Airport","Page Field",1
"Albert Whitted Airport","Sebring Regional Airport",1
"Destin Executive Airport","Miami International Airport",1
"NAS Pensacola(Forrest Sherman Field)","Apalachicola Regional Airport-Cleve Randolph Field",1
"Bartow Executive Airport","Lakeland Linder International Airport",1
"Fort Lauderdale Executive Airport","Destin Executive Airport",1
"Pompano Beach Airpark","Homestead Joint Air Reserve Base",1
"Sebring Regional Airport","North Perry Airport",1
"Albert Whitted Airport","Zephyrhills Municipal Airport",1
"Destin Executive Airport","NOLF Saufley Field",1
"Naples Municipal Airport","Ocala International Airport(Jim Taylor Field)",1
"Fort Lauderdale–Hollywood International Airport","Daytona Beach International Airport",1
"North Perry Airport","Albert Whitted Airport",1
"Peter O. Knight Airport","Clearwater Air Park",1
"Northwest Florida Beaches International Airport","Apalachicola Regional Airport-Cleve Randolph Field",1
"St. Pete–Clearwater International Airport","Fort Lauderdale Executive Airport",1
"Southwest Florida International Airport","Fort Lauderdale–Hollywood International Airport",1
"Fort Lauderdale Executive Airport","Pensacola International Airport",1
"St. Pete–Clearwater International Airport","Tampa International Airport",1
"Avon Park Executive Airport","Lakeland Linder International Airport",1
"Venice Municipal Airport","Albert Whitted Airport",1
"Southwest Florida International Airport","Miami-Opa Locka Executive Airport(was Opa-locka Airport)",1
"Page Field","Immokalee Regional Airport(was Immokalee Airport)",1
"Page Field","Punta Gorda Airport",1
"Albert Whitted Airport","Page Field",1
"Avon Park Executive Airport","Naples Municipal Airport",1
"Palm Beach County Glades Airport","Naples Municipal Airport",1
"Fort Lauderdale–Hollywood International Airport","Pompano Beach Airpark",1
"Tampa International Airport","Peter O. Knight Airport",1
"Peter O. Knight Airport","Sebring Regional Airport",1
"Naples Municipal Airport","Miami Executive Airport",1
"Naples Municipal Airport","Kissimmee Gateway Airport",1
"Sebring Regional Airport","Miami-Opa Locka Executive Airport(was Opa-locka Airport)",1
"Immokalee Regional Airport(was Immokalee Airport)","Miami-Opa Locka Executive Airport(was Opa-locka Airport)",1
"St. Pete–Clearwater International Airport","Avon Park Executive Airport",1
"Fort Lauderdale–Hollywood International Airport","Pensacola International Airport",1
"Destin Executive Airport","Naples Municipal Airport",1
"Fort Lauderdale Executive Airport","Sebring Regional Airport",1
"Page Field","Kissimmee Gateway Airport",1
"Naples Municipal Airport","Sebring Regional Airport",1
"St. Pete–Clearwater International Airport","Naples Municipal Airport",1
"Northwest Florida Beaches International Airport","Leesburg International Airport",1
"Destin Executive Airport","Clearwater Air Park",1
"Albert Whitted Airport","St. Pete–Clearwater International Airport",1
"Palm Beach County Glades Airport","Peter O. Knight Airport",1
"Naples Municipal Airport","Clearwater Air Park",1
"Sarasota–Bradenton International Airport","Lakeland Linder International Airport",1
"Gainesville Regional Airport","Daytona Beach International Airport",1
"North Perry Airport","Bartow Executive Airport",1
"Immokalee Regional Airport(was Immokalee Airport)","Homestead Joint Air Reserve Base",1
"Page Field","Miami International Airport",1
"Sarasota–Bradenton International Airport","Immokalee Regional Airport(was Immokalee Airport)",1
"North Perry Airport","Ocala International Airport(Jim Taylor Field)",1
"Tampa International Airport","Daytona Beach International Airport",1
"Punta Gorda Airport","Lakeland Linder International Airport",1
"Northwest Florida Beaches International Airport","St. Pete–Clearwater International Airport",1
"Immokalee Regional Airport(was Immokalee Airport)","Naples Municipal Airport",1
"Lakeland Linder International Airport","Peter O. Knight Airport",1
"Avon Park Executive Airport","Venice Municipal Airport",1
"Fort Lauderdale–Hollywood International Airport","Venice Municipal Airport",1
"Naples Municipal Airport","Southwest Florida International Airport",1
"Sarasota–Bradenton International Airport","Page Field",1
"St. Pete–Clearwater International Airport","Page Field",1
"Northwest Florida Beaches International Airport","Tampa International Airport",1
"Albert Whitted Airport","Naples Municipal Airport",1
"NAS Pensacola(Forrest Sherman Field)","Miami International Airport",1
"St. Pete–Clearwater International Airport","Leesburg International Airport",1
"Fort Lauderdale–Hollywood International Airport","Page Field",1
"Tampa International Airport","Winter Havens Gilbert Airport",1
"Fort Lauderdale–Hollywood International Airport","Naples Municipal Airport",1
"Northwest Florida Beaches International Airport","Fort Lauderdale Executive Airport",1
"Gainesville Regional Airport","Ocala International Airport(Jim Taylor Field)",1
"Palm Beach County Glades Airport","Tampa International Airport",1
"Punta Gorda Airport","Daytona Beach International Airport",1
"Fort Lauderdale Executive Airport","Bartow Executive Airport",1
"Sarasota–Bradenton International Airport","Fort Lauderdale Executive Airport",1
"St. Pete–Clearwater International Airport","Sarasota–Bradenton International Airport",1
"North Perry Airport","Venice Municipal Airport",1
"Sarasota–Bradenton International Airport","North Perry Airport",1
"Venice Municipal Airport","Marco Island Executive Airport",1
"Sarasota–Bradenton International Airport","Gainesville Regional Airport",1
"Northwest Florida Beaches International Airport","Daytona Beach International Airport",1
"Destin Executive Airport","Pensacola International Airport",1
"Destin Executive Airport","Tyndall Air Force Base",1
"Sarasota–Bradenton International Airport","Miami International Airport",1
"Fort Lauderdale–Hollywood International Airport","Punta Gorda Airport",1
"Marco Island Executive Airport","Bartow Executive Airport",1
"Fort Lauderdale Executive Airport","Winter Havens Gilbert Airport",1
"Marco Island Executive Airport","Miami-Opa Locka Executive Airport(was Opa-locka Airport)",1
"Tampa International Airport","Naples Municipal Airport",1
"Punta Gorda Airport","Pompano Beach Airpark",1
"Venice Municipal Airport","Peter O. Knight Airport",1
"Southwest Florida International Airport","Lakeland Linder International Airport",1
"Tampa International Airport","Pompano Beach Airpark",1
"Page Field","Miami Executive Airport",1
"Fort Lauderdale–Hollywood International Airport","Albert Whitted Airport",1
"Tampa International Airport","Ocala International Airport(Jim Taylor Field)",1
"Page Field","Clearwater Air Park",1
"Fort Lauderdale Executive Airport","Lakeland Linder International Airport",1
"Avon Park Executive Airport","Punta Gorda Airport",1
"Fort Lauderdale Executive Airport","Ocala International Airport(Jim Taylor Field)",1
"Punta Gorda Airport","Page Field",1
"Naples Municipal Airport","Gainesville Regional Airport",1
"Punta Gorda Airport","Tampa International Airport",1
"Northwest Florida Beaches International Airport","Page Field",1
"Avon Park Executive Airport","Page Field",1
"Sarasota–Bradenton International Airport","Marco Island Executive Airport",1
"Punta Gorda Airport","Peter O. Knight Airport",1
"Pensacola International Airport","Naples Municipal Airport",1
"Naples Municipal Airport","Northwest Florida Beaches International Airport",1
"Venice Municipal Airport","Sebring Regional Airport",1
"St. Pete–Clearwater International Airport","Clearwater Air Park",1
"Fort Lauderdale–Hollywood International Airport","Marco Island Executive Airport",1
"Pompano Beach Airpark","Daytona Beach International Airport",1
"Fort Lauderdale–Hollywood International Airport","North Perry Airport",1
"Southwest Florida International Airport","Venice Municipal Airport",1
"Albert Whitted Airport","Miami-Opa Locka Executive Airport(was Opa-locka Airport)",1
"NOLF Saufley Field","NAS Pensacola(Forrest Sherman Field)",1
"NOLF Saufley Field","NAS Whiting Field – North",1
"St. Pete–Clearwater International Airport","Albert Whitted Airport",1
"NAS Pensacola(Forrest Sherman Field)","NAS Whiting Field – North",1
"Pensacola International Airport","NAS Whiting Field – North",1
"NAS Whiting Field – North","NAS Pensacola(Forrest Sherman Field)",1
"Albert Whitted Airport","Avon Park Executive Airport",1
